system:index,AOT_RETRIEVAL_ACCURACY,AOT_RETRIEVAL_METHOD,BOA_ADD_OFFSET_B1,BOA_ADD_OFFSET_B10,BOA_ADD_OFFSET_B11,BOA_ADD_OFFSET_B12,BOA_ADD_OFFSET_B2,BOA_ADD_OFFSET_B3,BOA_ADD_OFFSET_B4,BOA_ADD_OFFSET_B5,BOA_ADD_OFFSET_B6,BOA_ADD_OFFSET_B7,BOA_ADD_OFFSET_B8,BOA_ADD_OFFSET_B8A,BOA_ADD_OFFSET_B9,CLOUDY_PIXEL_OVER_LAND_PERCENTAGE,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,CLOUD_SHADOW_PERCENTAGE,DARK_FEATURES_PERCENTAGE,DATASTRIP_ID,DATATAKE_IDENTIFIER,DATATAKE_TYPE,DATE,DEGRADED_MSI_DATA_PERCENTAGE,FORMAT_CORRECTNESS,GENERAL_QUALITY,GENERATION_TIME,GEOMETRIC_QUALITY,GRANULE_ID,GRANULE_MEAN_AOT,GRANULE_MEAN_WV,HIGH_PROBA_CLOUDS_PERCENTAGE,L2A_QUALITY,MEAN_INCIDENCE_AZIMUTH_ANGLE_B1,MEAN_INCIDENCE_AZIMUTH_ANGLE_B10,MEAN_INCIDENCE_AZIMUTH_ANGLE_B11,MEAN_INCIDENCE_AZIMUTH_ANGLE_B12,MEAN_INCIDENCE_AZIMUTH_ANGLE_B2,MEAN_INCIDENCE_AZIMUTH_ANGLE_B3,MEAN_INCIDENCE_AZIMUTH_ANGLE_B4,MEAN_INCIDENCE_AZIMUTH_ANGLE_B5,MEAN_INCIDENCE_AZIMUTH_ANGLE_B6,MEAN_INCIDENCE_AZIMUTH_ANGLE_B7,MEAN_INCIDENCE_AZIMUTH_ANGLE_B8,MEAN_INCIDENCE_AZIMUTH_ANGLE_B8A,MEAN_INCIDENCE_AZIMUTH_ANGLE_B9,MEAN_INCIDENCE_ZENITH_ANGLE_B1,MEAN_INCIDENCE_ZENITH_ANGLE_B10,MEAN_INCIDENCE_ZENITH_ANGLE_B11,MEAN_INCIDENCE_ZENITH_ANGLE_B12,MEAN_INCIDENCE_ZENITH_ANGLE_B2,MEAN_INCIDENCE_ZENITH_ANGLE_B3,MEAN_INCIDENCE_ZENITH_ANGLE_B4,MEAN_INCIDENCE_ZENITH_ANGLE_B5,MEAN_INCIDENCE_ZENITH_ANGLE_B6,MEAN_INCIDENCE_ZENITH_ANGLE_B7,MEAN_INCIDENCE_ZENITH_ANGLE_B8,MEAN_INCIDENCE_ZENITH_ANGLE_B8A,MEAN_INCIDENCE_ZENITH_ANGLE_B9,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,MEDIUM_PROBA_CLOUDS_PERCENTAGE,MGRS_TILE,NODATA_PIXEL_PERCENTAGE,NOT_VEGETATED_PERCENTAGE,OZONE_SOURCE,OZONE_VALUE,PROCESSING_BASELINE,PRODUCT_ID,RADIATIVE_TRANSFER_ACCURACY,RADIOMETRIC_QUALITY,REFLECTANCE_CONVERSION_CORRECTION,SATURATED_DEFECTIVE_PIXEL_PERCENTAGE,SENSING_ORBIT_DIRECTION,SENSING_ORBIT_NUMBER,SENSOR_QUALITY,SNOW_ICE_PERCENTAGE,SOLAR_IRRADIANCE_B1,SOLAR_IRRADIANCE_B10,SOLAR_IRRADIANCE_B11,SOLAR_IRRADIANCE_B12,SOLAR_IRRADIANCE_B2,SOLAR_IRRADIANCE_B3,SOLAR_IRRADIANCE_B4,SOLAR_IRRADIANCE_B5,SOLAR_IRRADIANCE_B6,SOLAR_IRRADIANCE_B7,SOLAR_IRRADIANCE_B8,SOLAR_IRRADIANCE_B8A,SOLAR_IRRADIANCE_B9,SPACECRAFT_NAME,THIN_CIRRUS_PERCENTAGE,UNCLASSIFIED_PERCENTAGE,VEGETATION_PERCENTAGE,WATER_PERCENTAGE,WATER_VAPOUR_RETRIEVAL_ACCURACY,.geo
20230601T153821_20230601T154221_T21WXS,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,99.905396,99.010253,99.01025300000002,0.012045999999999998,0.0,S2A_OPER_MSI_L2A_DS_2APS_20230601T220010_S20230601T154221_N05.09,GS2A_20230601T153821_041478_N05.09,INS-NOBS,2023-06-01T15:43:37.242,0.0237,PASSED,PASSED,1.68565681E12,PASSED,L2A_T21WXS_A041478_20230601T154221,0.073779,0.727,89.745665,PASSED,298.890831847743,298.474631304256,298.668842068305,298.857729630764,298.37081644802,298.506152040716,298.635553436156,298.671971978958,298.724120061965,298.776873379695,298.439558973537,298.874258094659,298.952380514172,7.15223150676701,6.96839333778474,7.04147928640247,7.12084075064349,6.91488278765006,6.9433134326459,6.9825707263061,7.01240339123494,7.04456524071045,7.07847370870337,6.92478709508354,7.11721230332888,7.19587316073726,184.19889499712,46.8392595767858,6.442923,21WXS,1.696404,2.06E-4,AUX_ECMWFT,380.171551,05.09,S2A_MSIL2A_20230601T153821_N0509_R011_T21WXS_20230601T220010,0.0,PASSED,0.973791072186749,0.0,DESCENDING,11.0,PASSED,0.0,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,2.821667,0.0,0.0,0.9774909999999999,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230601T153821_20230601T154221_T21WXT,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,99.759096,99.53922,99.53921999999999,0.158039,0.001115,S2A_OPER_MSI_L2A_DS_2APS_20230601T220010_S20230601T154221_N05.09,GS2A_20230601T153821_041478_N05.09,INS-NOBS,2023-06-01T15:43:23.854,0.014,PASSED,PASSED,1.68565681E12,PASSED,L2A_T21WXT_A041478_20230601T154221,0.060874,0.673,68.895578,PASSED,270.650192516627,271.786047424024,271.085496557011,270.398976198703,274.454139675597,272.964655485883,272.080864828034,271.650544676088,271.463881313073,271.121779531476,273.635500411175,270.953326166572,270.534319388537,4.48694347250184,4.12711263832127,4.26624279233442,4.42013033271327,3.98476543890359,4.07282939750634,4.16548212441944,4.21922942455018,4.27936056933111,4.34732085131382,4.02934042096372,4.41479069666582,4.56258557504251,184.270471028567,47.7339032123567,20.038985,21WXT,0.0,0.001052,AUX_ECMWFT,374.688518,05.09,S2A_MSIL2A_20230601T153821_N0509_R011_T21WXT_20230601T220010,0.0,PASSED,0.973791072186749,0.0,DESCENDING,11.0,PASSED,2.0E-5,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,10.604659,0.0,0.0,0.300556,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230601T153821_20230601T154221_T22WDB,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,99.298173,99.547982,99.547982,0.106957,1.55E-4,S2A_OPER_MSI_L2A_DS_2APS_20230601T220010_S20230601T154221_N05.09,GS2A_20230601T153821_041478_N05.09,INS-NOBS,2023-06-01T15:43:33.539,0.0263,PASSED,PASSED,1.68565681E12,PASSED,L2A_T22WDB_A041478_20230601T154221,0.071702,1.336999,91.980618,PASSED,300.232982279962,299.774829388084,300.021042559798,300.279479777465,299.477229819087,299.657396124247,299.828797000894,299.908706831949,300.004542551356,300.088780071109,299.565875626493,300.186496140795,300.33134779099,8.82805351281302,8.70517306740492,8.75495592912845,8.81602650634454,8.62292829508216,8.66290005042498,8.70183172673889,8.72228223363942,8.74520031459104,8.77044115340521,8.64169948744884,8.79802089186609,8.8610776841065,185.476400513322,46.9097270125061,5.051222,22WDB,22.917402,1.55E-4,AUX_ECMWFT,379.054822,05.09,S2A_MSIL2A_20230601T153821_N0509_R011_T22WDB_20230601T220010,0.0,PASSED,0.973791072186749,0.0,DESCENDING,11.0,PASSED,1.72E-4,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,2.516144,3.0E-5,0.0,0.344548,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230601T153821_20230601T154221_T22WDC,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,98.660606,98.638481,98.638481,0.812044,0.0036930000000000005,S2A_OPER_MSI_L2A_DS_2APS_20230601T220010_S20230601T154221_N05.09,GS2A_20230601T153821_041478_N05.09,INS-NOBS,2023-06-01T15:43:20.956,0.0238,PASSED,PASSED,1.68565681E12,PASSED,L2A_T22WDC_A041478_20230601T154221,0.058923,0.857,65.331024,PASSED,296.376269993805,296.291592076251,296.321846142073,296.392761127779,296.614422464605,296.417177751834,296.363027507486,296.346039482984,296.364714113112,296.376094357109,296.506234997338,296.412701480715,296.415779652617,6.13421311272799,5.91592421737098,6.00637184568902,6.11252889358579,5.81574471814399,5.86255282424321,5.91936383817949,5.95551597022653,5.99505507408702,6.03813255364194,5.83701905480617,6.08426748415144,6.1878087889523,185.269650095548,47.7986701930989,19.293417,22WDC,0.0,0.00423,AUX_ECMWFT,374.483045,05.09,S2A_MSIL2A_20230601T153821_N0509_R011_T22WDC_20230601T220010,0.0,PASSED,0.973791072186749,0.0,DESCENDING,11.0,PASSED,0.003925,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,14.014044,0.001493,0.0,0.536133,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230603T152809_20230603T153027_T21WXS,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,99.717456,99.570817,99.570817,0.040836,0.0,S2B_OPER_MSI_L2A_DS_2BPS_20230603T174756_S20230603T153027_N05.09,GS2B_20230603T152809_032598_N05.09,INS-NOBS,2023-06-03T15:33:40.278,0.0063,PASSED,PASSED,1.685814476E12,PASSED,L2A_T21WXS_A032598_20230603T153027,0.290782,0.461,58.211011000000006,PASSED,182.505428297413,184.480974220161,183.414039851554,182.762064105741,188.060204794276,185.631841559695,184.265638053879,183.749458601823,183.348877849117,183.040309763036,186.689646988864,182.801917726151,182.368452744097,3.038969461899,2.57804481002373,2.75979765847062,2.96631660038011,2.37763935933413,2.48966231824069,2.61530064047181,2.69121987685846,2.7717396425109,2.85654906293285,2.43001972748075,2.94506266648024,3.13678748867621,180.935232269984,46.542634893098,25.851521,21WXS,0.0,0.0,AUX_ECMWFT,368.54586,05.09,S2B_MSIL2A_20230603T152809_N0509_R111_T21WXS_20230603T174756,0.0,PASSED,0.973143905091753,0.0,DESCENDING,111.0,PASSED,0.001121,1874.3,365.41,247.08,87.75,1959.75,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,817.58,Sentinel-2B,15.508293,0.0,0.0,0.387225,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230603T152809_20230603T153027_T21WXT,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,99.30042,99.5121,99.5121,0.45216799999999996,0.006476,S2B_OPER_MSI_L2A_DS_2BPS_20230603T174756_S20230603T153027_N05.09,GS2B_20230603T152809_032598_N05.09,INS-NOBS,2023-06-03T15:33:26.403,0.0214,PASSED,PASSED,1.685814476E12,PASSED,L2A_T21WXT_A032598_20230603T153027,0.155531,0.628,55.84930799999999,PASSED,124.391780964029,127.052652660582,125.599062802084,124.655565619905,130.378712338786,128.010625354553,126.543139011955,125.947668335644,125.433132462578,125.014248862434,129.066510748222,124.64666791341,124.114811666378,4.08978914834638,3.70699649284244,3.85737869591731,4.02931866723553,3.54445324553774,3.6353968884428,3.73829556885077,3.80083637272234,3.86742901292,3.93783941011595,3.58685055319863,4.01165640923624,4.17205555501704,181.052528738738,47.4374801664235,32.433525,21WXT,0.0,1.19E-4,AUX_ECMWFT,367.227977,05.09,S2B_MSIL2A_20230603T152809_N0509_R111_T21WXT_20230603T174756,0.0,PASSED,0.973143905091753,0.0,DESCENDING,111.0,PASSED,0.011238,1874.3,365.41,247.08,87.75,1959.75,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,817.58,Sentinel-2B,11.229263,0.0,0.0,0.0179,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230603T152809_20230603T153027_T22WDB,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,99.820632,99.91622,99.91622,0.042455,0.0,S2B_OPER_MSI_L2A_DS_2BPS_20230603T174756_S20230603T153027_N05.09,GS2B_20230603T152809_032598_N05.09,INS-NOBS,2023-06-03T15:33:36.973,0.0022,PASSED,PASSED,1.685814476E12,PASSED,L2A_T22WDB_A032598_20230603T153027,0.289093,0.662,58.717883,PASSED,244.803197448646,246.687654057797,245.746987239308,245.097454358187,250.134723143694,247.93598603123,246.684004008794,246.190385827245,245.923600322392,245.616612930943,248.896240578509,245.159513673199,244.768710860599,3.74589764221982,3.33969867230739,3.51204037512394,3.69397562503569,3.1669632200909,3.2648543608566,3.37478098506763,3.44135612148281,3.51997424724147,3.59463196820964,3.21275482391293,3.67070336565102,3.84036545345486,182.220690960827,46.5925967641964,22.847015,22WDB,0.0,0.0,AUX_ECMWFT,371.361499,05.09,S2B_MSIL2A_20230603T152809_N0509_R111_T22WDB_20230603T174756,0.0,PASSED,0.973143905091753,0.0,DESCENDING,111.0,PASSED,2.39E-4,1874.3,365.41,247.08,87.75,1959.75,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,817.58,Sentinel-2B,18.351322,0.0,0.0,0.041088,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230603T152809_20230603T153027_T22WDC,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,99.192679,99.490577,99.49057700000002,0.46188599999999996,0.007943,S2B_OPER_MSI_L2A_DS_2BPS_20230603T174756_S20230603T153027_N05.09,GS2B_20230603T152809_032598_N05.09,INS-NOBS,2023-06-03T15:33:23.744,0.0117,PASSED,PASSED,1.685814476E12,PASSED,L2A_T22WDC_A032598_20230603T153027,0.153644,0.674,29.282212,PASSED,162.384130083865,164.942550934149,163.464587906561,162.59400855144,168.732297596421,166.013656629425,164.425863302935,163.807127254212,163.305712403493,162.953719491583,167.208499853205,162.625474513339,162.292411394995,3.1508819831994,2.69269326948842,2.87431768500346,3.07938142030905,2.49501408040847,2.60745772135542,2.732926157548,2.80854108784682,2.88857648479293,2.97038364321752,2.54767308186108,3.05820968794787,3.24592287889927,182.058109731815,47.4868761920922,56.037688,22WDC,0.0,8.3E-5,AUX_ECMWFT,368.222425,05.09,S2B_MSIL2A_20230603T152809_N0509_R111_T22WDC_20230603T174756,0.0,PASSED,0.973143905091753,0.0,DESCENDING,111.0,PASSED,0.014662,1874.3,365.41,247.08,87.75,1959.75,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,817.58,Sentinel-2B,14.170668999999998,0.0,0.0,0.024851000000000005,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230604T154941_20230604T154938_T21WXS,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,100.0,100.0,100.0,0.0,0.0,S2A_OPER_MSI_L2A_DS_2APS_20230604T230554_S20230604T154938_N05.09,GS2A_20230604T154941_041521_N05.09,INS-NOBS,2023-06-04T15:53:32.907,0.0,PASSED,PASSED,1.685919954E12,PASSED,L2A_T21WXS_A041521_20230604T154938,0.125758,0.0,99.313599,PASSED,305.46473848856,303.170348451023,304.167541365757,305.141314310859,301.876925431271,302.696179873808,303.449295931587,303.852399225784,304.27066491031,304.674346448692,302.286425587314,305.087926938698,305.883260873712,10.7213135801191,10.6068431370203,10.6490701192133,10.7016306536628,10.5674696677115,10.5893502069887,10.6162081863214,10.6333920324471,10.6527768995226,10.6737880777736,10.5774508383628,10.6968596868465,10.7487211811462,187.227476693053,46.5493957913799,0.665671,21WXS,78.726923,0.0,AUX_ECMWFT,379.747273,05.09,S2A_MSIL2A_20230604T154941_N0509_R054_T21WXS_20230604T230554,0.0,PASSED,0.972826392203087,0.0,DESCENDING,54.0,PASSED,0.0,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,0.020728,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230604T154941_20230604T154938_T21WXT,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,82.688171,82.933271,82.933271,0.003961,0.0032009999999999994,S2A_OPER_MSI_L2A_DS_2APS_20230604T230554_S20230604T154938_N05.09,GS2A_20230604T154941_041521_N05.09,INS-NOBS,2023-06-04T15:53:20.662,0.0298,PASSED,PASSED,1.685919954E12,PASSED,L2A_T21WXT_A041521_20230604T154938,0.099762,0.482042,48.644501,PASSED,302.278974562311,301.496330802311,301.841143267525,302.168288239362,301.176823636173,301.44902803496,301.684924564635,301.820359588594,301.908920458926,302.040736244585,301.313932730086,302.18432910796,302.422421871154,9.16243807620198,9.03245036669476,9.0799601500604,9.14000827844878,9.00194188425978,9.02193540793214,9.04810952338528,9.06754367164842,9.08364529798117,9.10765722181381,9.01078143014686,9.13393502843253,9.19390585089737,187.256390008674,47.4413298692685,23.590347,21WXT,33.666414,0.051878,AUX_ECMWFT,393.930554,05.09,S2A_MSIL2A_20230604T154941_N0509_R054_T21WXT_20230604T230554,0.0,PASSED,0.972826392203087,0.0,DESCENDING,54.0,PASSED,13.52904,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,10.698425,5.0E-6,5.000000000000001E-5,3.478596,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230604T154941_20230604T154938_T22WDB,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,100.0,100.0,100.0,0.0,0.0,S2A_OPER_MSI_L2A_DS_2APS_20230604T230554_S20230604T154938_N05.09,GS2A_20230604T154941_041521_N05.09,INS-NOBS,2023-06-04T15:53:27.204,0.0,PASSED,PASSED,1.685919954E12,PASSED,L2A_T22WDB_A041521_20230604T154938,0.114486,0.0,99.120128,PASSED,310.093145524736,306.101266487399,307.833159196012,309.532567808904,303.789207508747,305.225727025849,306.545462669503,307.255484726788,307.980533979485,308.689776253551,304.507137072659,309.40698181508,310.820407644053,11.5182285668989,11.4048519575229,11.4471222366231,11.4989076544981,11.3647803997382,11.387534674605,11.4147271476211,11.4318626097859,11.4512044542328,11.4719317861316,11.3752650976353,11.494725409316,11.5450659644818,188.503239639613,46.6386721931369,0.879871,22WDB,98.142487,0.0,AUX_ECMWFT,378.700083,05.09,S2A_MSIL2A_20230604T154941_N0509_R054_T22WDB_20230604T230554,0.0,PASSED,0.972826392203087,0.0,DESCENDING,54.0,PASSED,0.0,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230604T154941_20230604T154938_T22WDC,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,71.240091,72.699147,72.699147,0.005818,0.004827,S2A_OPER_MSI_L2A_DS_2APS_20230604T230554_S20230604T154938_N05.09,GS2A_20230604T154941_041521_N05.09,INS-NOBS,2023-06-04T15:53:17.692,0.0213,PASSED,PASSED,1.685919954E12,PASSED,L2A_T22WDC_A041521_20230604T154938,0.099497,0.466953,35.192508,PASSED,304.197123115859,302.811420772272,303.395159317587,303.953936956478,302.079321520249,302.538781727129,302.961591141561,303.185499370658,303.423835771594,303.647029600591,302.309016630848,303.90940617783,304.474479112644,10.0561567909031,9.95282349908399,9.98830767546572,10.043049120253,9.88629969669009,9.90834436480338,9.93588455583831,9.95366838897166,9.97369836191368,10.0049245161687,9.89628701552478,10.0373725156122,10.0933401160751,188.253839805989,47.5201635350111,25.394985,22WDC,59.167695,0.044487,AUX_ECMWFT,394.582997,05.09,S2A_MSIL2A_20230604T154941_N0509_R054_T22WDC_20230604T230554,0.0,PASSED,0.972826392203087,0.0,DESCENDING,54.0,PASSED,21.628155,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,12.111655,0.0,1.87E-4,5.617378,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230605T151811_20230605T152034_T21WXS,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,99.999619,99.999893,99.999893,0.0,0.0,S2A_OPER_MSI_L2A_DS_2APS_20230605T212656_S20230605T152034_N05.09,GS2A_20230605T151811_041535_N05.09,INS-NOBS,2023-06-05T15:23:41.904,0.0084,PASSED,PASSED,1.686000416E12,PASSED,L2A_T21WXS_A041535_20230605T152034,0.07776,0.511,99.853307,PASSED,113.805620201305,113.501304587043,113.59831445636,113.730664656886,113.220686453562,113.36724483764,113.462652724386,113.529411377446,113.569978582581,113.602880539596,113.295246104831,113.639277533987,113.842701034482,7.61322161810378,7.4220065331018,7.48921723260565,7.56524321074372,7.38832977985173,7.41820934071196,7.45275786615356,7.47773572155134,7.50222074187594,7.53762313182317,7.40173028679177,7.57106726512584,7.65299262044398,177.64195484031,46.3248130471952,0.146575,21WXS,3.585294,5.5E-5,AUX_ECMWFT,373.580781,05.09,S2A_MSIL2A_20230605T151811_N0509_R068_T21WXS_20230605T212656,0.0,PASSED,0.972528218323013,0.0,DESCENDING,68.0,PASSED,0.0,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,0.0,0.0,0.0,6.2E-5,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230605T151811_20230605T152034_T21WXT,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,99.997646,99.99848,99.99848,8.08E-4,0.0,S2A_OPER_MSI_L2A_DS_2APS_20230605T212656_S20230605T152034_N05.09,GS2A_20230605T151811_041535_N05.09,INS-NOBS,2023-06-05T15:23:27.626,0.0168,PASSED,PASSED,1.686000416E12,PASSED,L2A_T21WXT_A041535_20230605T152034,0.08869,0.505,99.378973,PASSED,114.973474502502,114.220579984674,114.587647974065,114.907674597219,113.571337091534,113.885926284547,114.190013973122,114.354270440499,114.503951122328,114.662893547283,113.728700385628,114.810437027085,115.120585065971,9.0188031609186,8.88632280009874,8.92418262375824,8.98805744885335,8.84568218681059,8.8676633353541,8.89879298425397,8.91758861560163,8.93866423825072,8.96204987538023,8.85548654964129,8.9876242550053,9.04960007254898,177.806225827692,47.2169993755544,0.5949169999999999,21WXT,30.59898,6.02E-4,AUX_ECMWFT,372.626899,05.09,S2A_MSIL2A_20230605T151811_N0509_R068_T21WXT_20230605T212656,0.0,PASSED,0.972528218323013,0.0,DESCENDING,68.0,PASSED,0.0,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,0.024592,0.0,0.0,1.15E-4,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230605T151811_20230605T152034_T22WDB,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,99.999958,99.999785,99.999785,0.0,0.0,S2A_OPER_MSI_L2A_DS_2APS_20230605T212656_S20230605T152034_N05.09,GS2A_20230605T151811_041535_N05.09,INS-NOBS,2023-06-05T15:23:38.775,0.0,PASSED,PASSED,1.686000416E12,PASSED,L2A_T22WDB_A041535_20230605T152034,0.087078,0.531,99.866205,PASSED,113.72457504592,114.385642026856,113.935224803035,113.821776125183,115.569632787731,114.768368240314,114.348380791498,114.123793338604,114.060893501821,113.970463773866,115.088198504774,113.825485464977,113.693935993111,5.23826051338011,4.94215536495352,5.04866217147313,5.17787700276169,4.82614208735148,4.89367604403407,4.97158103184172,5.01161675714454,5.06806991230449,5.12182256814035,4.86442381936657,5.17431832835833,5.29827856738449,178.933454937959,46.3538778012475,0.133507,22WDB,0.0,1.0E-5,AUX_ECMWFT,374.231337,05.09,S2A_MSIL2A_20230605T151811_N0509_R068_T22WDB_20230605T212656,0.0,PASSED,0.972528218323013,0.0,DESCENDING,68.0,PASSED,0.0,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,7.6E-5,0.0,0.0,2.02E-4,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230605T151811_20230605T152034_T22WDC,0.0,CAMS,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,99.998134,99.998832,99.998832,7.2E-4,0.0,S2A_OPER_MSI_L2A_DS_2APS_20230605T212656_S20230605T152034_N05.09,GS2A_20230605T151811_041535_N05.09,INS-NOBS,2023-06-05T15:23:25.324,0.0099,PASSED,PASSED,1.686000416E12,PASSED,L2A_T22WDC_A041535_20230605T152034,0.093321,0.514,99.467164,PASSED,114.535490214907,114.196041631346,114.324797454494,114.459194783086,113.908774921236,114.056775866021,114.179181462792,114.253948370265,114.309842198148,114.37552256382,113.98339627454,114.427663429339,114.586012990777,7.94646893718215,7.77603259171316,7.83232419942235,7.90385202313873,7.74086216338224,7.76835082412251,7.80358945175311,7.82671122987303,7.8525732219685,7.88111714451536,7.75317215336551,7.91225409128903,7.98366458619486,178.816858806931,47.2507026434821,0.511921,22WDC,7.390788,3.69E-4,AUX_ECMWFT,372.726724,05.09,S2A_MSIL2A_20230605T151811_N0509_R068_T22WDC_20230605T212656,0.0,PASSED,0.972528218323013,0.0,DESCENDING,68.0,PASSED,0.0,1884.69,367.15,245.59,85.25,1959.66,1823.24,1512.06,1424.64,1287.61,1162.08,1041.63,955.32,812.92,Sentinel-2A,0.019751,0.0,0.0,8.2E-5,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
